docId,id_user,id_hoteles,fecha,rating,text_review
FleLDuuENYbQ3d0UyQZj,53nLxYuwIlckMIUmlcnnBqCPMhh1,1Hzi8ztMo9twWHbeIVtu,2023-02-08,3,"No quedé satisfecho con la calidad del producto, esperaba algo mejor por el precio que pagué"
HEu88FEFeBDeYyPTpsMs,53nLxYuwIlckMIUmlcnnBqCPMhh1,8U8rQri5xaa2Hi5qsKus,2023-05-17,4,"Bonitas instalaciones, habitaciones pequeñas"
NFJK5G0P81LaTArTneHJ,RLfIC0TJWDfXkSTy5bIa45Uh2SP2,sH3yoANRew7lCTpA07jr,2023-03-23,1,"Mala insonorización, se escucha todo."
OZBZ60WckK6GLq1MnksE,ihhwW5WXtVgty7Yhf0UMkNS8w962,zAds1e1A7Zxy8JNliJus,2023-06-08,4,Muy bonito mi novia lo agradeció.
RviahxyLgFe9AJTJFimO,RLfIC0TJWDfXkSTy5bIa45Uh2SP2,4enkcLMwjCrijt4GEEhQ,2023-05-31,4,Servicio de limpieza excelente.
U3sqVGyDQ0w1qg9owgkX,RLfIC0TJWDfXkSTy5bIa45Uh2SP2,qQlIoOx99VhMVvxyv5Zg,2023-02-08,2,"Ruido constante, difícil conciliar el sueño."
UkjxiwldkCkKI3iQZ3jd,53nLxYuwIlckMIUmlcnnBqCPMhh1,4enkcLMwjCrijt4GEEhQ,2023-01-04,3,"Excelente ubicación, cerca de todo"
UpuBTZipMiGOdChGWLjS,RLfIC0TJWDfXkSTy5bIa45Uh2SP2,sH3yoANRew7lCTpA07jr,2023-05-10,2,"No lo recomendaría, falta de mantenimiento."
XcdASFMLyvU12k2Utw4S,53nLxYuwIlckMIUmlcnnBqCPMhh1,geRSPnO2NDW9pF8qS4NI,2023-06-13,5,Excelente servicio y atención al cliente. Altamente recomendado.
eDaGjrw7mc0zTZXK8iPu,RLfIC0TJWDfXkSTy5bIa45Uh2SP2,T0pjSPftSyVX3Xsqrdeh,2023-04-19,2,"Baño sucio, falta de higiene."
eOMzNxCFocYlewNebuHp,RLfIC0TJWDfXkSTy5bIa45Uh2SP2,ki7gbpNEv7BvcslIkwVL,2023-03-15,4,Fantástica vista desde la habitación
gycYdlc1t6WNW5Mn8Itr,53nLxYuwIlckMIUmlcnnBqCPMhh1,1Hzi8ztMo9twWHbeIVtu,2023-03-15,1,"Pésima limpieza, encontré insectos."
hWAm52JCp7Xu2eu0tev6,53nLxYuwIlckMIUmlcnnBqCPMhh1,4enkcLMwjCrijt4GEEhQ,2023-05-31,4,Increíble lugar para relajarse y desconectar del estrés diario. Lo recomiendo totalmente
jw61VvcjYkO2op6Id5CB,RLfIC0TJWDfXkSTy5bIa45Uh2SP2,ITiI8JGwVn2T3jMYAiKK,2023-06-22,3,"Hermoso diseño, pero habitaciones pequeñas."
l6QvqlvYmUvcMFGu14El,RLfIC0TJWDfXkSTy5bIa45Uh2SP2,T0pjSPftSyVX3Xsqrdeh,2023-02-15,3,"Cama cómoda, descanso asegurado."
okQKzzsJYY4CuMJGJQWB,RLfIC0TJWDfXkSTy5bIa45Uh2SP2,GmsI1yjfV8fejYpVNOnF,2023-06-12,3,"Gran piscina, perfecta para relajarse."
pS7q5YiPpk1UbBHP0wyt,RLfIC0TJWDfXkSTy5bIa45Uh2SP2,XM9CzyT9ZttI76Vd9d9N,2023-06-13T17:36:04.432Z,4,"Excelente ubicación, cerca de atracciones turísticas."
rzbAfh37lEshKZ7c4iu8,53nLxYuwIlckMIUmlcnnBqCPMhh1,8U8rQri5xaa2Hi5qsKus,2023-03-02,1,"Mal experiencia, ruidoso y mal mantenimiento"
stR8tJTVaTlcfd0RFvqM,53nLxYuwIlckMIUmlcnnBqCPMhh1,7iSwH26pGGYaZyUNzQFg,2023-04-11,1,Pesimo servicio al cliente.
sxJfyDxgsScQxWUbPp5T,53nLxYuwIlckMIUmlcnnBqCPMhh1,GmsI1yjfV8fejYpVNOnF,2023-04-12,3,"Todo perfecto, volveré pronto"
u7z71jxSuVQd8w8iOrNN,RLfIC0TJWDfXkSTy5bIa45Uh2SP2,1Hzi8ztMo9twWHbeIVtu,2023-05-30,1,"No volvería, mala calidad del desayuno."
ulz4yjgPGYmawHFej6BZ,53nLxYuwIlckMIUmlcnnBqCPMhh1,4mOXkPeYllfWTJjcrGF1,2023-03-14,2,"Mala señal de Wi-Fi, frustrante."
zJC0rbFfsrK6KHPMA8lG,RLfIC0TJWDfXkSTy5bIa45Uh2SP2,8U8rQri5xaa2Hi5qsKus,2023-05-04,2,"No recomendado, malas camas."
zTCyMQA36TruoiIkWSwq,53nLxYuwIlckMIUmlcnnBqCPMhh1,BhVwTdpESNdLOWgJLwah,2023-03-15,3,"Buen hotel, excelente servicio."
zZxWaf59S0L0GXyQLWbU,RLfIC0TJWDfXkSTy5bIa45Uh2SP2,b5F0ORlebrpV3SoQcoHn,2023-03-15,5,"Hotel tranquilo, ideal para descansar"
